Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
3Eme Industria e Comercio de Confeccoes Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Uniforme (industrial, empresarial, hospitalar, restaurante);;BRASIL;BAHIA;Salvador;Rua do Uruguai, 15;S/N;Uruguai;;40454-260;(71) 3356-6586 ;  ;; ;officer5uniformes@gmail.com; ; ;;;;; 13647787000120 ;
3G Premoldados Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Muro pre-moldado;(71) 3304-5676 / (71) 99999-6904 / (71) 98695-2236;BRASIL;BAHIA;Terreo; Po de pedra;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 11960133000126 ;
A & A Fabrica de Gelo Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Gelo;www.geluscatu.com.br;BRASIL;BAHIA;Catu;Rua Rodolfo Goes, 275-B;S/N;Pioneiro;;48110-000;(71) 99966-6445 ;  ;; ;cassiogoes@geluscatu.com.br; ; ;;;;; 26253259000138 ;
A & E Supermercado Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Biscoito;;BRASIL;BAHIA;Salvador;Estrada da Cachoeirinha, 1519-B;S/N;Cabula VI;;41181-057;(71) 3371-5443 ;  ;; ;raquelmixcabula@gmail.com; ; ;;;;; 23768927000171 ;
A & S Industria de Biscoitos Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Biscoito (polvilho, folheado, tipo champagne);;BRASIL;BAHIA;Santo Antonio de Jesus;Av Antonio Carlos Magalhaes, 456-A;S/N;Sao Benedito;;44573-440;(75) 3631-3284 ;  ;; ;biscoitosoares@hotmail.com; ; ;;;;; 22192712000192 ;
A + Locacao de Veiculos e Transportes Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta de lixo;;BRASIL;BAHIA;Amelia Rodrigues;Rua Amanda de Assis Costa, S/N;S/N;Cento e Quinze;;44230-000;(75) 99993-6668 ;  ;; ;maislimpezaurbana@gmail.com; ; ;;;;; 14766158000181 ;
A A & J Cunha Industria e Comercio de Materiais de Construcao Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Argamassa;www.argamassavitoria.com.br;BRASIL;BAHIA;Vitoria da Conquista;Rua 01, Chacaras 7/8 Quadra AB, S/N;S/N;Vila Elisa;;45000-970;(77) 99964-6345  ; (77) 3420-8084 ;; ;argamassavitoria@hotmail.com; ; ;;;;; 04504763000120 ;
A A de Oliveira Serralheria - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Corrimao;;BRASIL;BAHIA;Santo Estevao;Rua Cezilio Pires Sao Bernardo, 72;S/N;Centro;;44190-000;(75) 98116-6583 ; (75) 99188-5994 ;; ;aadeoliveiraserralheria@gmail.com; ; (75) 99191-8385;;;;; 16586106000159 ;
A A L Comercial Metalurgica Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Janela;;BRASIL;BAHIA;Mutuipe;Av do Cruzeiro, 1316;S/N;Centro;;45480-000;(75) 3635-1219 ;  ;; ;ferro-vale@hotmail.com; ; ;;;;; 04488112000194 ;
A A Mota Laticinios - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Manteiga;;BRASIL;BAHIA;Feira de Santana;Rua Canguaretama, 55;S/N;Sitio Matias;;44091-334;(75) 3485-3099  ; (75) 3623-2929 ;; ;mota.laticinios@hotmail.com; ; ;;;;; 04082105000198 ;
A Alves Lima;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Toldo;;BRASIL;BAHIA;Itabuna;Av Juca Leao, 330;S/N;Centro;;45600-162;(73) 3211-8180 ; (73) 98834-8008 ;; ;placasul@hotmail.com; ; (73) 98104-6763;;;;; 11014286000180 ;
A Bery Retifica de Motores Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Retifica em geral;;BRASIL;BAHIA;Salvador;Rua California, 49-A;S/N;Paripe;;40810-030;(71) 3307-1240 ; (71) 98816-0980 ;; ;retificaparipe2010@hotmail.com; ; ;;;;; 14785020000120 ;
A Bezerra da Silva - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;Lista de Insumos:;;BRASIL;BAHIA;Feira de Santana;Av Artemia Pires Freitas, 100;S/N;SIM;;44085-370;(75) 3224-5835 ; (75) 3030-1023 ;; ;evolucao.granito@gmail.com; ; ;;;;; 18662195000109 ;
A Brasileira Industria Grafica, Serv e Representacao Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Brinde  Carimbo;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 04958915000165 ;
A Brito dos Santos Filho - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Leite de coco;;BRASIL;BAHIA;Itabuna;Rua Itabuna, 520-B;S/N;Ferradas;;45613-204;(73) 3211-5384 ;  ;; ;chocolatejeanne@yahoo.com.br; ; ;;;;; 11962364000179 ;
A C Amazonas Eireli - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Sabao liquido;www.natuclean.com.br;BRASIL;BAHIA;Feira de Santana;Rod BR-324 Km 102, S/N;S/N;CIS;;44096-486;(75) 3221-9033 ;  ;; ;adm.natuclean@gmail.com; ; ;;;;; 07981403000108 ;
A C de Lima Premoldados - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Manilha;;BRASIL;BAHIA;Juazeiro;Rua Jose Severo Lins, 271;S/N;Pedra do Lord;;48901-440;(74) 3611-8937 ; (74) 98812-8738 ;; ;acdelimapremoldados@gmail.com; ; ;;;;; 22584227000164 ;
A C Dias de Oliveira Granitos - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Pia;;BRASIL;BAHIA;Teixeira de Freitas;Rua Aluizio de Azevedo, 321;S/N;Jardim Liberdade;;45994-342;(73) 3013-7075 ; (73) 99914-0026 ;; ;ouroverdegranitos@gmail.com; ; (73) 99901-6855;;;;; 19364849000172 ;
A C L Silva Santana - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Camiseta personalizada;;BRASIL;BAHIA;Jequie;Rua Bertino Passos, 74;S/N;Centro;;45202-340;(73) 3525-7208 ;  ;; ;anavieira7@hotmail.com; ; ;;;;; 02859152000170 ;
A C S Guimares Eireli - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Moda intima;;BRASIL;BAHIA;Vitoria da Conquista;Rua Oscar Freire, 41;S/N;Centro;;45000-880;(77) 2101-6105 ; (77) 98831-1009 ;; ;mariadapaz.lsa@gmail.com; ; ;;;;; 23661396000113 ;
A Carvalho da Silva Marcenaria - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Movel empresarial, industrial e residencial;;BRASIL;BAHIA;Itaberaba;Rua Lauro Farane de Freitas, 405;S/N;Paroquial;;46880-000;(75) 99253-3997 ;  ;; ;ad.carvalho@yahoo.com.br; ; ;;;;; 10661506000103 ;
A Catavento Comunicacao Visual Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Toten;;BRASIL;BAHIA;Salvador;Rua Arnaldo Lopes da Silva, 66;S/N;Stiep;;41770-035;(71) 3347-7171 ;  ;; ;catavento@cataventoba.com.br; ; ;;;;; 05923766000161 ;
A Fabrica de Lajes - Ferragens Prontas e Materiais de Construcao Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Laje com bloco de isopor;;BRASIL;BAHIA;Salvador;Rua Dep Herculano Menezes, 8170-A;S/N;Cajazeiras VIII;;41338-800;(71) 3291-9456 ;  ;; ;afabricadelajes@hotmail.com; ; ;;;;; 07759377000178 ;
A Goncalves dos Santos;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Bloco;;BRASIL;BAHIA;Santa Terezinha;Rua da Baixa, 1277;S/N;Serra Grande;;44590-000;(75) 99889-7380 ; (75) 99850-7457 ;; ;ag.premoldados1@gmail.com; ; ;;;;; 11197436000139 ;
A Grafica da Feira Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Caixa  Cartaz;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 14418917000115 ;
A H Manutencao e Servicos Eireli ;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Reforma civil;www.engeservice.webnode.com;BRASIL;BAHIA;Ilheus;Caminho 5, 19;S/N;Hernani Sa;;45656-542;(73) 3632-8124 ;  ;; ;engeserviceilheus@gmail.com; ; ;;;;; 29332199000137 ;
A J da Silva - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Grade;;BRASIL;BAHIA;Ibirapitanga;Rua Sao Luiz de Cima, S/N;S/N;Camamuzinho;;45500-000;(73) 98807-2574 ; (73) 98124-6103 ;; ;consergecontabilidade@hotmail.com; ; ;;;;; 17550478000198 ;
A J Ideal Manutencao Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Manutencao em equipamento hidraulico, pneumatico, mecanico e eletrico;;BRASIL;BAHIA;Camacari;Av Jorge Amado, 34;S/N;Ponto Certo;;42801-170;(71) 3627-3654 ; (71) 98331-6317 ;; ;comercial@manutencaoideal.com.br; ; ;;;;; 22262746000106 ;
A J Marmoraria Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Pia;;BRASIL;BAHIA;Mucuri;Av Brasil, 348;S/N;Cidade Nova;;45930-000;(73) 3605-3152  ; (73) 99992-4061 ;; ;contatos@pedrabonitamarmoraria.com.br; ; ;;;;; 04102891000148 ;
A J Silva Fabricacao de Cosmeticos Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Reparador de pontas;;BRASIL;BAHIA;Itabuna;Rod Ilheus/Itabuna BR 415 Km 24, S/N;S/N;Parque Verde;;45604-795;(73) 3212-4930 ;  ;; ;ajsilvacosmeticos@hotmail.com; ; ;;;;; 10547772000100 ;
A L Delicatessen Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Caldo  Doce;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 14774479000128 ;
A L Lima Madeiras;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Barrote;;BRASIL;BAHIA;Alagoinhas;Rodovia BR-101, S/N;S/N;Zona Rural;;48010-970;(75) 99986-6504 ;  ;; ;compradireta@live.com; ; ;;;;; 28676657000192 ;
A Limpcano Desentupimento e Succao de Fossas Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Desobstrucao de tubulacao;www.limpcano.com.br;BRASIL;BAHIA;Salvador;Rua Guary, 18;S/N;Daniel Lisboa;;40283-790;(71) 3356-4555 ;  ;; ;limpcano@limpcano.com.br; ; ;;;;; 16390536000109 ;
A M Cairo Santana & Cia Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Artesanato;;BRASIL;BAHIA;Itubera;Rua Santo Andre, 66;S/N;Pina;;45435-000;(73) 98135-7434 ;  ;; ;metalurgicabetel01@hotmail.com; ; ;;;;; 12925523000128 ;
A M Empreendimentos e Servicos Eireli - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta de lixo urbano;;BRASIL;BAHIA;Capim Grosso;Rua 15 de Novembro, S/N;S/N;Centro;;44695-000;(75) 99148-9929 ; (74) 99113-7575 ;; ;amempreendimentoseservicos@gmail.com; ; ;;;;; 12874063000156 ;
A M F Barroca Moveis - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Moveis planejados;;BRASIL;BAHIA;Feira de Santana;Rua Flamengo, 470;S/N;Gabriela III;;44028-183;(75) 98842-0345 ;  ;; ;amf01@hotmail.com; ; ;;;;; 06221171000127 ;
A M R de Araujo de Conceicao do Coite;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Amendoim;;BRASIL;BAHIA;Conceicao do Coite;Est Conceicao do Coite ao Pov de Santa Rosa, S/N;S/N;Zona Rural;;48730-000;(75) 3262-1050 ;  ;; ;amrdearaujo@gmail.com; ; ;;;;; 07393983000112 ;
A N Engenharia Eireli - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Projeto, instalacao e montagem de sistema eletrico predial, comercial e industrial;www.araujonetto.com.br;BRASIL;BAHIA;Lauro de Freitas;Rua Dr Gerino de Souza Filho, 1815;S/N;Itinga;;42738-200;(71) 3029-9559 ; (71) 3029-9595 ;; ;rh@araujonetto.com.br; ; ;;;;; 05926201000138 ;
A P S Pallet Fort Ind e Com Varejista de Pallet Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Palete;;BRASIL;BAHIA;Camacari;Av Rene Montenegro de Almeida, S/N;S/N;Montenegro (Est da Cascalheira);;42800-970;(71) 3599-7510 ; (71) 99617-0156 ;; ;apspallet@hotmail.com; ; ;;;;; 13485119000143 ;
A Palmeira dos Santos Atelie;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Estamparia em camisa;;BRASIL;BAHIA;Salvador;Rua Nilo Pecanha, 20;S/N;Calcada;;40411-380;(71) 98636-0169 ;  ;; ;thompsonsolucoes@gmail.com; ; ;;;;; 17961577000162 ;
A Pinheiro Trindade Nascimento - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Folder;;BRASIL;BAHIA;Una;Rua Sete de Setembro, 107;S/N;Centro;;45690-000;(73) 3236-2013 ;  ;; ;graficaregional1@gmail.com; ; ;;;;; 10299682000139 ;
A Preditiva Eletrica Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Manutencao de motor;;BRASIL;BAHIA;Feira de Santana;Av Dep Colbert Martins da Silva, 916;S/N;Tomba;;44091-002;(75) 3622-4548 ; (75) 98835-0862 ;; ;apreditiva@gmail.com; ; (75) 98800-6183;;;;; 63237937000103 ;
A R Abatedouro Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;Lista de Insumos:;;BRASIL;BAHIA;Luis Eduardo Magalhaes;Rodovia BR-020 Km 203, S/N;S/N;Zona Rural;;47850-000;(77) 3628-2104 ;  ;; ;andresitiodosol@gmail.com; ; ;;;;; 22354605000113 ;
A R Ceramica Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Bloco ceramico 8 furos;;BRASIL;BAHIA;Riachao do Jacuipe;Fazenda Pedra, S/N;S/N;Barreiros;;44640-000;(75) 99814-7415 ; (75) 3269-1046 ;; ;ceramicaalisson@hotmail.com; ; ;;;;; 22416435000154 ;
A S de Jesus Reparos - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Manutencao de motor;;BRASIL;BAHIA;Cruz das Almas;Praca da Bandeira, 136;S/N;Centro;;44380-000;(75) 3621-6268 ;  ;; ;bomotec01@hotmail.com; ; ;;;;; 06137899000175 ;
A S S Metalurgica Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Janela;;BRASIL;BAHIA;Santo Antonio de Jesus;Rua A, 9982;S/N;Amparo;;44572-650;(75) 3631-3424 ;  ;; ;ferrobahia@hotmail.com; ; ;;;;; 19008643000100 ;
A S Vidracaria Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Vidro;www.usevidros.com.br;BRASIL;BAHIA;Brumado;Av Centenario, 270-A;S/N;Centro;;46100-000;(77) 3441-3435 ; (77) 99916-9020 ;; ;arlindo@usevidros.com.br; ; ;;;;; 96723119000161 ;
A Santana de Almeida Santos Comercio de Confeccoes;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Calca jeans;;BRASIL;BAHIA;Salvador;Av Tancredo Neves, 148;S/N;Caminho das Arvores;;41820-908;(71) 99115-8158 ;  ;; ;albertosantanaalmeida@gmail.com; ; ;;;;; 25228114000114 ;
A Soberana Marmores e Granitos Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Granito  Marmore;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 02439474000160 ;
A Vieira Ramos;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Biscoito;;BRASIL;BAHIA;Jequie;Rua Ulisses Coelho Lima, 704;S/N;Km 03;;45208-040;(73) 3526-0853  ; (73) 98854-9866 ;; ;biscoitosbahia@hotmail.com; ; ;;;;; 13019627000136 ;
A Z Industria e Comercio de Polpas de Frutas Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Polpa de fruta em tambor;;BRASIL;BAHIA;Gandu;Fazenda Bom Jardim, S/N;S/N;Zona Rural;;45450-000;(73) 99982-0059 ;  ;; ;bomfrutgandu@outlook.com; ; ;;;;; 05535038000182 ;
A&S Industria e Comercio de Moveis Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Armario de cozinha;;BRASIL;BAHIA;Salvador;Rua Juazeiro, 131-A;S/N;Caixa D'Agua;;40321-055;(71) 3386-4632 ;  ;; ;vendas@aesmoveis.com.br; ; ;;;;; 13635198000121 ;
A. A. dos Santos Refrigeracao - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Instalacao e manutencao de refrigeracao industrial;;BRASIL;BAHIA;Conceicao da Feira;Rua Vila dos Coqueiros, 391;S/N;Centro;;44320-000;(75) 98173-4355 ;  ;; ;ademasfrius@bol.com.br; ; ;;;;; 12560433000180 ;
A. Alves Vieira;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Sebo;;BRASIL;BAHIA;Itamaraju;Rua Nilo Pecanha, 289;S/N;Liberdade;;45836-000;(73) 99941-0417 ;  ;; ;; ; ;;;;; 27341297000105 ;
A. C. Blocos Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Bloco;;BRASIL;BAHIA;Santo Amaro;Distrito Tanque da Senzala, S/N;S/N;Tanque da Senzala;;44200-000;(75) 99979-4961 ;  ;; ;ac_comercial@hotmail.com; ; ;;;;; 19044303000134 ;
A. C. da Silva Souza - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Carroceria para veiculo e reparos;;BRASIL;BAHIA;Feira de Santana;Av Eduardo Froes da Mota, 440;S/N;Santa Monica;;44078-015;(75) 3625-1513 ;  ;; ;saocristovaocarroceria@hotmail.com; ; ;;;;; 08106607000162 ;
A. C. de Oliveira - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Acessorio;;BRASIL;BAHIA;Riachao do Jacuipe;Trv Ana Paulina Mascarenhas, 43;S/N;Bela Vista;;44640-000;(75) 3264-3018  ; (75) 99114-3513 ;; ;stiluscapas@hotmail.com; ; ;;;;; 07838706000176 ;
A. C. de Sousa - Industria;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Cama popular;;BRASIL;BAHIA;Capim Grosso;Rua Joao Figueiredo, 159;S/N;Jardim Araujo;;44695-000;44695-000;;; ;adisbalfaturamento.xml@gmail.com; ;;;;;; 96852843000195 ;
A. C. F. Ribeiro - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Iogurte;;BRASIL;BAHIA;Cansancao;Rua Heron Dias de Andrade, 08;S/N;Centro;;48840-000;(73) 3274-1245 ; (75) 99117-5906 ;; ;iogurtemania@uol.com.br; ; ;;;;; 21940312000155 ;
A. dos S. Dias Panificadora - ME;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Bolo;;BRASIL;BAHIA;Feira de Santana;Rua Jacobina, 122;S/N;Jardim Cruzeiro;;44024-212;(75) 3023-0108 ; (75) 98109-6589 ;; ;fafa_rios@hotmail.com; ; ;;;;; 05531400000147 ;
