Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
Alvopetro S/A Extracao de Petroleo e Gas Natural;;;INDÚSTRIAS EXTRATIVAS; Extracao de petroleo;www.alvopetro.com;BRASIL;BAHIA;Vera Cruz;Rua do Campo, S/N;S/N;Distrito de Jiribatuba;;44470-000;(71) 3432-0917 ; (31) 3227-0300 ;; ;maraujo@alvopetro.com; ; ;;;;; 15240822000389 ;
Amagran Importacao e Exportacao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de marmore e granito;www.amagran.com;BRASIL;BAHIA;Itarantim;Rodovia Estadual 270 Km 145, S/N;S/N;Regiao das Tres Pontas;;45780-000;(73) 3283-1218 ; (27) 3062-5681 ;; ;adrian@amagran.com; ; (27) 3317-0351;;;;; 03799534000703 ;
Amagran Importacao e Exportacao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de marmore e granito;www.amagran.com;BRASIL;BAHIA;Potiragua;Fazenda Serra Azul, S/N;S/N;Zona Rural;;45790-000;(73) 3283-1218 ; (27) 3317-0351 ;; ;adrian@amagran.com; ; ;;;;; 03799534000622 ;
Amana Reciclagem de Produtos Ltda;;;INDÚSTRIAS EXTRATIVAS; Reciclaveis;;BRASIL;BAHIA;Luis Eduardo Magalhaes;Rua B, S/N;S/N;Lot Centro Indl do Cerrado;;47850-000;(77) 99963-2000  ; (77) 99871-1000 ;; ;recicla_brasil@hotmail.com; ; (77) 99909-0076;;;;; 10343850000146 ;
American Tempos Comercial de Residuo e Reciclagem Ltda;;;INDÚSTRIAS EXTRATIVAS; Coleta de residuo industrial para reciclagem (borracha, pneu, nylon);;BRASIL;BAHIA;Feira de Santana;Rua Pau D Arco, 23;S/N;Calumbi;;44009-792;(75) 3481-1130 ; (75) 98102-1544 ;; ;americantemposambiental@gmail.com; ; (75) 99171-5701;;;;; 24512392000136 ;
Ampla Servicos e Empreendimentos Ltda;;;INDÚSTRIAS EXTRATIVAS; Coleta de lixo urbano;;BRASIL;BAHIA;Alagoinhas;Rua Dom Pedro II, 22;S/N;Centro;;48010-050;(75) 99995-2332 ;  ;; ;ampla.empreendimentos@hotmail.com; ; ;;;;; 13185058000107 ;
AN Servicos de Coletas e Limpezas Ltda;;;INDÚSTRIAS EXTRATIVAS; Coleta de produtos quimicos e petroquimicos;;BRASIL;BAHIA;Feira de Santana;Rod BR-101 Km 173,9, S/N;S/N;Distrito de Humildes;;44135-000;(74) 99110-4905 ; (12) 99124-9117 ;; ;aneves_10@hotmail.com; ; (74) 98862-9800;;;;; 23863132000142 ;
Andorinha Energias Renovaveis S/A;;;INDÚSTRIAS EXTRATIVAS; Geracao de energia eletrica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rodovia BA-220, Povado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613512000207 ;
Aniva da Silva Martinez;;;INDÚSTRIAS EXTRATIVAS; PAB;;BRASIL;BAHIA;Salvador;Estrada Velha de Piraja, S/N;S/N;Piraja;;41290-000;(71) 3246-2084 ; (71) 98816-4750 ;; ;metais.jr@uol.com.br; ; ;;;;; 07522605000191 ;
Antolini, Exportacao, Importacao e Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de quartzito;;BRASIL;BAHIA;Piata;Fazenda Poco D Agua, S/N;S/N;Distrito de Nubia;;46765-000;(27) 2121-0556 ; (27) 2121-0558 ;; ;geologia2@eurobrasil.com; ; ;;;;; 02870306000809 ;
Apoio Ambiental Comercio, Servicos e Industria Ltda;;;INDÚSTRIAS EXTRATIVAS; Metal;www.apoioambiental.com.br;BRASIL;BAHIA;Simoes Filho;Rod BR-324 Km 17, S/N;S/N;CIA Sul;;43700-000;(71) 4117-0473 ; (71) 98103-3158 ;; ;financeiro@apoioambiental.com.br; ; ;;;;; 06086223000108 ;
Aquifero Locacao de Equipamentos Eireli - EPP;;;INDÚSTRIAS EXTRATIVAS; Rebaixamento do lencol freatico;www.aquiferoengenharia.com.br;BRASIL;BAHIA;Lauro de Freitas;Rua Aurelino Leal, 34;S/N;Recreio Ipitanga;;42700-610;(71) 3288-5139  ; (71) 3378-3618 ;; ;tabita.dias@aquiferoengenharia.com.br; ; ;;;;; 07946215000149 ;
Aratu Mineracao Construcao Ltda;;;INDÚSTRIAS EXTRATIVAS; Expurgo;(71) 2104-2333  / (71) 2104-2300 / (71) 2104-2301;BRASIL;BAHIA;; Energia;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 15851736000140 ;
Araujo Transportes Eireli;;;INDÚSTRIAS EXTRATIVAS; Extracao de brita, cascalho e pedregulho;;BRASIL;BAHIA;Retirolandia;Rua Senhor do Bonfim, 16;S/N;Laginha;;48750-000;(75) 99975-2133 ;  ;; ;; ; ;;;;; 23079535000103 ;
Areal H F Ltda;;;INDÚSTRIAS EXTRATIVAS; Areia;;BRASIL;BAHIA;Vitoria da Conquista;Distrito Sao Sebastiao, 02;S/N;Sao Sebastiao;;45102-000;(77) 99991-5585 ; (77) 98859-5568 ;; ;leno-prado@hotmail.com; ; ;;;;; 26332291000109 ;
Areal Nordestina Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de areia;;BRASIL;BAHIA;Porto Seguro;Fazenda Nordestina, S/N;S/N;Corrego da Areia;;45810-000;(73) 3270-2093 ; (73) 99933-2523 ;; ;weltongrassi@yahoo.com.br; ; ;;;;; 07329438000167 ;
Armando Jose de Oliveira;;;INDÚSTRIAS EXTRATIVAS; Barita;;BRASIL;BAHIA;Rio do Pires;Fazenda Barauninha, S/N;S/N;Centro;;46550-000;(77) 3693-2416  ; (77) 99115-2906 ;; ;; ; ;;;;; 15084547000190 ;
ARS Comercio de Marmores e Granitos Ltda;;;INDÚSTRIAS EXTRATIVAS; Placa de marmore;;BRASIL;BAHIA;Capim Grosso;Fazenda Urucu, S/N;S/N;Zona Rural;;44695-000;(74) 3651-0352 ; (74) 3622-4225 ;; ;marcelocontabilidade-capimgrosso@hotmail.com; ; (74) 99190-1354;;;;; 19953569000108 ;
Assis Polimarmore Ltda;;;INDÚSTRIAS EXTRATIVAS; Marmore;;BRASIL;BAHIA;Ourolandia;Rua Vila Gama, S/N;S/N;Barragem;;44718-000;(74) 98138-2564 ;  ;; ;nativocontabilidade@hotmail.com; ; ;;;;; 15150759000128 ;
Associacao de Meio Ambiente e Reciclagem de Oliveira dos Brejinhos;;;INDÚSTRIAS EXTRATIVAS; Coleta seletiva (plastico, papel, vidro e metais);;BRASIL;BAHIA;Oliveira dos Brejinhos;Av Antonio Leite do Vale, 514;S/N;Centro;;47530-000;(77) 99991-0422 ; (77) 99993-3716 ;; ;amar.brejinhos@gmail.com; ; ;;;;; 27548508000185 ;
Associacao de Reciclagem e Artesanato Ambiental de Serra Dourada;;;INDÚSTRIAS EXTRATIVAS; Coleta de residuos reciclaveis secos;;BRASIL;BAHIA;Serra Dourada;Estrada Alto da Colina/Canafistula, S/N;S/N;Alto da Colina;;47740-000;(77) 99194-7965 ;  ;; ;associacaoaraasd@gmail.com; ; ;;;;; 28067048000136 ;
ASX Mineradora Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de cobre;;BRASIL;BAHIA;Potiragua;Rua do Campo, 145-C;S/N;Itaimbe;;45790-000;(71) 98825-2491 ; (71) 98869-0000 ;; ;mase.go@hotmail.com; ; (71) 3166-6161;;;;; 24575579000189 ;
Atlantic Nickel Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Concentrado de niquel;www.atlanticnickel.com;BRASIL;BAHIA;Itagiba;Fazenda Santa Rita, S/N;S/N;Zona Rural;;45585-000;(73) 3313-1470 ; (73) 3313-1364 ;; ;comunicacao@atlanticnickel.com; ; (73) 3313-1424;;;;; 74127010000471 ;
Atlantico Bahia Solucoes Ambientais em Reciclagem Ltda;;;INDÚSTRIAS EXTRATIVAS; Telha ecologica;;BRASIL;BAHIA;Camacari;Rua Francisco Drumond, 47;S/N;Centro;;42800-500;(71) 99324-2509 ;  ;; ;mcarolcruz@hotmail.com; ; ;;;;; 27634850000106 ;
Bahia Brita Business Brasil Mineracao Imp e Exp Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de brita;;BRASIL;BAHIA;Itabuna;Rua Jose Rodrigues Viana, 825;S/N;Goes Calmon;;45605-355;(73) 99981-0606 ;  ;; ;bahiabrita@gmail.com; ; ;;;;; 12383021000112 ;
Bahia Mineracao S/A;;;INDÚSTRIAS EXTRATIVAS; Extracao de minerio de ferro;;BRASIL;BAHIA;Caetite;Rua Men de Sa, 460;S/N;Ovidio Teixeira;;46400-000;(71) 3507-0000 ; (77) 3454-8500 ;; ;nelsonsallesneto@ig.com.br; ; (77) 3454-8551;;;;; 07392063000260 ;
Bahia PCH I S/A;;;INDÚSTRIAS EXTRATIVAS; Geracao de energia eletrica;;BRASIL;BAHIA;Sao Desiderio;Rod BA-462 Km 29, S/N;S/N;Zona Rural;;47820-000;(77) 3623-2109 ;  ;; ;elio.costa@contourglobal.com; ; ;;;;; 08747075000223 ;
Baimin Granitos Ltda;;;INDÚSTRIAS EXTRATIVAS; Granito;www.baimin.com.br;BRASIL;BAHIA;Jitauna;Faz Boa Vista, BR-330 Km 15, S/N;S/N;Zona Rural;;45225-000;(27) 99944-7185 ;  ;; ;baimin@baimin.com.br; ; ;;;;; 22248556000134 ;
Banda de Couro Energetica S/A;;;INDÚSTRIAS EXTRATIVAS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Roca Nova, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19905727000227 ;
Baraunas I Energeticas S/A;;;INDÚSTRIAS EXTRATIVAS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Boca da Caixa, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19354626000205 ;
Baraunas II Energeticas S/A;;;INDÚSTRIAS EXTRATIVAS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Roca Nova, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19905679000277 ;
Base Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Areia lavada;;BRASIL;BAHIA;Vitoria da Conquista;Rua da Granja, 88;S/N;Recreio;;45028-030;(77) 3422-9029 ; (77) 99119-0431 ;; ;afdeoliveira73@hotmail.com; ; ;;;;; 19910794000159 ;
Battre - Bahia Transferencia e Tratamento de Residuos Ltda;;;INDÚSTRIAS EXTRATIVAS; Tratamento e destinacao de residuos;;BRASIL;BAHIA;Salvador;Estrada CIA-Aeroporto Km 6,5, S/N;S/N;Sao Cristovao;;41510-000;(71) 3239-8700 ;  ;; ;rcsoliveira.battre@solvi.com; ; ;;;;; 03558482000198 ;
Bege Bahia Marmore Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de marmore;www.begebahiamarmore.com.br;BRASIL;BAHIA;Ourolandia;Fazenda Pedra da Arara, S/N;S/N;Sede;;44718-000;(74) 98137-5312 ; (74) 98137-5702 ;; ;bege-bahia@hotmail.com; ; ;;;;; 13466164000312 ;
Bege Bahia Marmore Ltda;;;INDÚSTRIAS EXTRATIVAS; Bloco;www.begebahia.com.br;BRASIL;BAHIA;Ourolandia;Estrada Jacobina Umburanas BA 368 Km 70, S/N;S/N;Sede;;44718-000;(74) 3621-3352  ; (74) 98137-5702 ;; ;begebahiamarmores@hotmail.com; ; ;;;;; 13466164000150 ;
Benapro Beneficiamento e Aparelhamento de Marmore Ltda;;;INDÚSTRIAS EXTRATIVAS; Pia;;BRASIL;BAHIA;Ourolandia;Rod Lages do Batata a Ourolandia, S/N;S/N;Barragem;;44718-000;(11) 98115-3322 ; (74) 98113-3013 ;; ;benapro2014@gmail.com; ; ;;;;; 19800472000157 ;
Bertek Produtos, Servicos e Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao e beneficiamento de barita;www.bertek.com.br;BRASIL;BAHIA;Pirai do Norte;Fazenda Pedra Branca, S/N;S/N;Zona Rural;;45436-000;(27) 2121-5628 ;  ;; ;hermano.berger@bertek.com.br; ; ;;;;; 11729330000210 ;
Blenda Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de manganes;;BRASIL;BAHIA;Coribe;Fazenda Sao Lourenco, S/N;S/N;Zona Rural;;47690-000;(71) 3594-2212 ;  ;; ;eivani@sicbras.com.br; ; ;;;;; 15143779000686 ;
Blue Sky Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao e beneficiamento de quartzito;www.blueskymineracao.com.br;BRASIL;BAHIA;Itaguacu da Bahia;Fazenda Riacho, S/N;S/N;Forquilha;;47440-000;(74) 3611-7759 ; (74) 99803-9570 ;; ;ludimara@blueskymineracao.com.br; ; ;;;;; 25054060000207 ;
Blue Sky Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Marmore;;BRASIL;BAHIA;Juazeiro;Quadra H (Cj Hab C Branco), 04;S/N;Castelo Branco;;48906-530;(74) 3611-7759 ; (74) 99803-9570 ;; ;fiscal@blueskymineracao.com.br; ; ;;;;; 25054060000118 ;
Bom Futuro Mineracao Comercio e Industria Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de areia;;BRASIL;BAHIA;Eunapolis;Av David Jonas Fadini, 460;S/N;Stela Reis;;45823-035;(73) 3281-5111 ;  ;; ;areabomfuturo@gmail.com; ; ;;;;; 19721363000144 ;
Borges & Dias Ltda;;;INDÚSTRIAS EXTRATIVAS; Brita;;BRASIL;BAHIA;Teixeira de Freitas;Rua Guarani, 49;S/N;Centro;;45985-210;(73) 99901-1095 ;  ;; ;sandroborges13@hotmail.com; ; ;;;;; 15065034000131 ;
Bracell Bahia Florestal Ltda;;;INDÚSTRIAS EXTRATIVAS; Madeira de eucalipto em toras para fabricação de celulose soluvel;www.bracell.com;BRASIL;BAHIA;Alagoinhas;Rua Dr Jose Tiago Correia, S/N;S/N;Alagoinhas Velha;;48030-300;(75) 3423-9900 ;  ;; ;mouana_fonseca@bracell.com; ; ;;;;; 15692999000154 ;
Braserv Petroleo Ltda;;;INDÚSTRIAS EXTRATIVAS; Servico relacionado a extracao de petroleo;www.braservpetroleo.com.br;BRASIL;BAHIA;Alagoinhas;Rodovia BR-101 Km 112, S/N;S/N;Polo Industrial;;48005-015;(75) 3403-7700 ;  ;; ;administrador@braservpetroleo.com.br; ; ;;;;; 10941603000141 ;
Brasil Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de granito e quartzito;;BRASIL;BAHIA;Lauro de Freitas;Rua Joao Chagas Ortins de Freitas, 577;S/N;Buraquinho;;42700-000;(71) 3024-3448 ;  ;; ;admbrmgold@gmail.com; ; ;;;;; 15245002000118 ;
Brilam Materiais de Construcao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de brita;;BRASIL;BAHIA;Santa Maria da Vitoria;Est BA-172 Km 18, S/N;S/N;Trevo de Acudina;;47640-000;(77) 3484-2165 ; (77) 99961-4444 ;; ;tarcisioterracon@gmail.com; ; ;;;;; 15708985000181 ;
Brilimp Servicos de Limpeza Ltda;;;INDÚSTRIAS EXTRATIVAS; Container;;BRASIL;BAHIA;Jequie;Rua Dr Virgilio Tourinho, 10;S/N;Centro;;45202-298;(73) 3527-6496 ;  ;; ;lagosantos@uol.com.br; ; ;;;;; 14976063000192 ;
Brita Express Ltda;;;INDÚSTRIAS EXTRATIVAS; Brita 1;;BRASIL;BAHIA;Vitoria da Conquista;Distrito Povoado Itaipu, 25;S/N;Centro;;45000-970;(77) 3426-6269 ;  ;; ;brita@expressosudoeste.com.br; ; ;;;;; 17098528000148 ;
Britagem Universo Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de brita;;BRASIL;BAHIA;Riachao do Jacuipe;Rod Lomanto Junior Km 74, S/N;S/N;Pov Vila Aparecida;;44640-000;(75) 3269-2055  ; (75) 3269-2054 ;; ;britagem.universo@terra.com.br; ; ;;;;; 06228149000109 ;
BRK Ambiental Jaguaribe S/A;;;INDÚSTRIAS EXTRATIVAS; Tratamento de agua e esgotamento sanitario;www.brkambiental.com.br;BRASIL;BAHIA;Salvador;Rua Alceu Amoroso Lima, 668;S/N;Caminho das Arvores;;41820-770;(71) 3555-9650  ; (71) 3555-9653 ;; ;sergiopereira@brkambiental.com.br; ; (71) 3555-9666;;;;; 08529701000124 ;
C. Fernando R. da Paz & Cia Ltda;;;INDÚSTRIAS EXTRATIVAS; Marmore;;BRASIL;BAHIA;Adustina;Fazenda Marmelada, S/N;S/N;Zona Rural;;48435-000;(35) 99982-4370 ; (35) 99982-4162 ;; ;ortachpinto@hotmail.com; ; ;;;;; 25913377000677 ;
C.C.A. Extratora de Minerios Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de feldspato;;BRASIL;BAHIA;Castro Alves;Rua dos Artistas, 138;S/N;Centro;;44500-000;(75) 98182-8418 ;  ;; ;; ; ;;;;; 14281789000100 ;
Caber/Ba-Coop dos Catadores de Produtos Reciclaveis de Barreiras e Regiao da Bahia Ltda;;;INDÚSTRIAS EXTRATIVAS; Metal;;BRASIL;BAHIA;Barreiras;Rua Dra Terezinha Lacerda, 334;S/N;Santa Luzia II;;47803-200;(77) 99941-4083 ;  ;; ;statuscontabilidade.barreiras@hotmail.com; ; ;;;;; 15659205000150 ;
Calbahia-Calcario da Bahia Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Calcario;;BRASIL;BAHIA;Santa Maria da Vitoria;Rod BR-349 Km 14, S/N;S/N;Distrito da Barra;;47640-000;(77) 3483-5200 ; (77) 3483-2623 ;; ;calbahiacalcario@hotmail.com; ; ;;;;; 06133785000157 ;
Calcario BR 101 Ltda;;;INDÚSTRIAS EXTRATIVAS; Calcario dolomitico;www.calcariobr101.com.br;BRASIL;BAHIA;Mascote;Rodovia BR-101 Km 636, 01;S/N;Fazenda Cachoeira;;45870-000;(73) 3285-5040  ; (73) 3285-5048 ;; ;calcariobr101@ig.com.br; ; ;;;;; 02131771000143 ;
Calcario Rio Preto Ltda;;;INDÚSTRIAS EXTRATIVAS; Brita;www.calcarioriopreto.com;BRASIL;BAHIA;Palmeiras;Faz Rio Preto, Rod BR-242 Km 362, S/N;S/N;Zona Rural;;46930-000;(75) 3332-2168  ;  ;; ;calcarioriopretoltda@yahoo.com.br; ; ;;;;; 15717168000190 ;
Campo Formoso I Energias Renovaveis S/A;;;INDÚSTRIAS EXTRATIVAS; Geracao de energia eolica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rod BA-220 Povoado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613280000297 ;
Campo Formoso II Energias Renovaveis S/A;;;INDÚSTRIAS EXTRATIVAS; Geracao de energia eolica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rod BA-220 Povoado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613629000290 ;
Candengo Energias Renovaveis Ltda;;;INDÚSTRIAS EXTRATIVAS; Energia eletrica;www.valenca.com.br;BRASIL;BAHIA;Valenca;Fazenda Candengo, S/N;S/N;Zona Rural;;45400-000;(85) 4006-0588 ; (85) 4006-0565 ;; ;ana.romero@valenca.com.br; ; (85) 3111-2850;;;;; 22454143000297 ;
Carlito Santos Freitas - ME;;;INDÚSTRIAS EXTRATIVAS; Aco;;BRASIL;BAHIA;Vitoria da Conquista;Rua Trinta e Quatro, 250;S/N;Brasil;;45066-340;(77) 3423-4745  ; (77) 3423-5941 ;; ;recuperadorafreitas@gmail.com; ; ;;;;; 13794748000155 ;
Casa do Cimento Jacobina Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de areia;;BRASIL;BAHIA;Jacobina;Rua Reinaldo Jacobina Vieira, 282;S/N;Peru;;44700-000;(74) 3621-5600 ; (74) 3621-5700 ;; ;jacoferro@hotmail.com; ; ;;;;; 08812872000166 ;
Casa dos Ventos Energias Renovaveis S/A;;;INDÚSTRIAS EXTRATIVAS; Instalacao de turbinas para captacao de energia;www.casadosventos.com.br;BRASIL;BAHIA;Lauro de Freitas;Av Santos Dumont, 1883;S/N;Centro;;42700-000;(11) 4084-4200 ; (71) 3029-9752 ;; ;rogerio.roseno@valenca.com.br; ; ;;;;; 10772867000380 ;
Cassio Souza Teixeira;;;INDÚSTRIAS EXTRATIVAS; Extracao de argila;;BRASIL;BAHIA;Itagimirim;Fazenda Joeliza, S/N;S/N;Zona Rural;;45850-000;(73) 3289-2882 ; (73) 99989-9067 ;; ;casadofilito@yahoo.com.br; ; (73) 98185-2547;;;;; 13986417000117 ;
CBG Mineracao S/A;;;INDÚSTRIAS EXTRATIVAS; Perfuracao e sondagem;;BRASIL;BAHIA;Eunapolis;Av David Jonas Fadini, 2134;S/N;Stela Reis;;45823-035;(31) 3451-2966 ;  ;; ;andre@cbgsa.com.br; ; ;;;;; 16382619000229 ;
CBL Comercio e Reciclagem de Borrachas Ltda;;;INDÚSTRIAS EXTRATIVAS; Reciclagem de pneu;www.cblreciclagem.com.br;BRASIL;BAHIA;Feira de Santana;Rua Tapirai, S/N;S/N;Humildes;;44135-000;(75) 3614-6210  ; (75) 99191-2559 ;; ;cbl.ba@cblreciclagem.com.br; ; (11) 4346-8900;;;;; 58865114000346 ;
Cefas Mineracao Eireli;;;INDÚSTRIAS EXTRATIVAS; Extracao de granito;;BRASIL;BAHIA;Guajeru;Fazenda Pedra Redonda, S/N;S/N;Zona Rural;;46205-000;(28) 3524-1141 ;  ;; ;cadastro@alliancestone.com.br; ; ;;;;; 08258118000126 ;
Center Gomma do Brasil Ltda;;;INDÚSTRIAS EXTRATIVAS; Coleta e separacao de residuo de borracha;www.centergommadobrasil.com.br;BRASIL;BAHIA;Conceicao do Jacuipe;Rod BR-101 Km 162,5, S/N;S/N;Oitizeiro;;44245-000;(75) 3243-3711 ; (41) 99683-0573 ;; ;alex@centergommadobrasil.com.br; ; (41) 99801-0100;;;;; 05659405000400 ;
Center Gomma do Brasil Ltda;;;INDÚSTRIAS EXTRATIVAS; Processamento e industrializacao de residuos;www.centergommadobrasil.com.br;BRASIL;BAHIA;Amelia Rodrigues;Rodovia BA-084, Lot Parque Sao Luiz, S/N;S/N;Rio Seco;;44230-000;(75) 3243-3711 ; (41) 3025-6160 ;; ;alex@centergommadobrasil.com.br; ; ;;;;; 05659405000583 ;
Central de Tratamento de Residuos de Serrinha Ltda;;;INDÚSTRIAS EXTRATIVAS; Residuo domestico, hospitalar e de obras;;BRASIL;BAHIA;Serrinha;Rodovia BA-233, S/N;S/N;Zona Rural;;48700-000;(75) 99930-7800 ; (75) 98101-8833 ;; ;carlos@metagestaopublica.com.br; ; (75) 99940-8833;;;;; 26609854000163 ;
Central Eolica Angical S/A;;;INDÚSTRIAS EXTRATIVAS; Energia eolica;;BRASIL;BAHIA;Pindai;Fazenda Pau de Ferro, S/N;S/N;Zona Rural;;46360-000;(77) 3454-3725 ;  ;; ;fiscal@ferbasa.com.br; ; ;;;;; 14570783000234 ;
Central Eolica Angical S/A;;;INDÚSTRIAS EXTRATIVAS; Geracao de energia eletrica;;BRASIL;BAHIA;Pindai;Fazenda Pau Ferro, S/N;S/N;Zona Rural;;46360-000;(71) 3404-3060 ;  ;; ;fiscal@ferbasa.com.br; ; ;;;;; 14570783000153 ;
